Player,Season,Season Type,Team,Games,Min,Pts,OReb,Dreb,Reb,Ast,Stl,Blk,TO,PF,FGM,FGA,FG%,3PTM,3PTA,3PT%,FTM,FTA,FT%
Maurice Ndour,2016-2017,REG,Knicks,32,10.36,3.06,0.69,1.31,2.00,0.25,0.47,0.25,0.38,0.94,1.22,2.69,0.454,0.03,0.22,0.143,0.59,0.81,0.731
Sheldon McClellan,2016-2017,REG,Wizards,30,9.56,3.00,0.13,1.00,1.13,0.50,0.27,0.07,0.17,0.57,1.00,2.50,0.400,0.23,1.00,0.233,0.77,0.90,0.852
Jarrett Jack,2016-2017,REG,Pelicans,2,16.54,3.00,0.00,0.00,0.00,2.50,1.00,0.00,1.50,2.00,1.00,1.50,0.667,0.00,0.50,0.000,1.00,1.00,1.000
Sasha Vujacic,2016-2017,REG,Knicks,42,9.72,2.95,0.29,1.12,1.40,1.24,0.31,0.05,0.38,0.90,1.00,3.24,0.309,0.55,1.76,0.311,0.40,0.57,0.708
Andrew Bogut,2016-2017,REG,"Mavericks, Cavaliers",27,21.60,2.93,2.07,6.00,8.07,1.81,0.48,0.93,1.59,3.19,1.41,3.00,0.469,0.00,0.04,0.000,0.11,0.41,0.273
Salah Mejri,2016-2017,REG,Mavericks,73,12.40,2.92,1.33,2.89,4.22,0.19,0.44,0.84,0.55,2.08,1.21,1.88,0.642,0.01,0.04,0.333,0.49,0.84,0.590
Lavoy Allen,2016-2017,REG,Pacers,61,14.28,2.90,1.72,1.87,3.59,0.93,0.30,0.39,0.48,1.28,1.26,2.75,0.458,0.00,0.02,0.000,0.38,0.54,0.697
Fred VanVleet,2016-2017,REG,Raptors,37,7.94,2.89,0.11,1.03,1.14,0.95,0.43,0.08,0.41,0.97,1.05,3.00,0.351,0.30,0.78,0.379,0.49,0.59,0.818
Alan Anderson,2016-2017,REG,Clippers,30,10.28,2.87,0.10,0.70,0.80,0.37,0.10,0.00,0.23,1.17,1.00,2.67,0.375,0.47,1.47,0.318,0.40,0.53,0.750
Semaj Christon,2016-2017,REG,Thunder,64,15.20,2.86,0.30,1.06,1.36,2.03,0.44,0.11,0.67,1.23,1.20,3.48,0.345,0.19,0.98,0.190,0.27,0.48,0.548
